factors_by_location_view_id,location,infection_rate,death_rate,avg_stringency_index,avg_population_density,avg_cardiovasc_death_rate,avg_aged_70_older,avg_handwashing_facilities,avg_human_development_index,avg_life_expectancy,full_vaccination_rate
40,Chile,14.4703,0.2042,36.38247416,24.282,127.993,6.938000202,0,0.851000011,80.18000031,33.5263
122,Marshall Islands,14.4699,0.0156,0,295.15,557.793,0,82.5019989,0.703999996,73.69999695,\N
151,Panama,14.0372,0.1428,35.38255168,55.133,128.346,5.03000021,0,0.814999998,78.51000214,38.3271
145,Northern Mariana Islands,13.8182,0.0426,0,119.878,194.994,0,0,0,76.73999786,\N
49,Curacao,13.7916,0.0938,0,362.644,0,10.06799984,0,0,78.87999725,41.4512
108,Lebanon,13.7883,0.1339,36.71963824,594.561,266.591,5.429999828,0,0.744000018,78.93000031,42.0878
8,Argentina,13.5151,0.2052,37.02469716,16.177,191.032,7.440999985,0,0.845000029,76.66999817,31.8069
138,New Caledonia,13.3315,0.0622,0,15.342,0,6.488999844,0,0,77.55000305,39.98
206,United States Virgin Islands,13.2809,0.079,0,306.48,273.67,10.79899979,0,0,80.58000183,\N
67,Finland,13.1393,0.083,23.02400517,18.136,153.507,13.26399994,0,0.938000023,81.91000366,24.6542
45,Costa Rica,13.1288,0.115,30.66186047,96.079,137.973,5.693999767,83.84100342,0.810000002,80.27999878,37.5333
28,British Virgin Islands,12.9405,0.1191,0,207.973,0,0,0,0,79.06999969,42.9373
87,Hungary,12.916,0.3174,25.87274548,108.043,278.296,11.97599983,0,0.853999972,76.87999725,179.975
121,Malta,12.3958,0.1007,28.25033592,1454.037,168.711,11.32400036,0,0.894999981,82.52999878,38.1922
197,Turkey,11.6969,0.077,29.8251938,104.914,171.285,5.06099987,0,0.819999993,77.69000244,37.0795
127,Moldova,11.5106,0.2444,29.14352713,123.655,408.502,6.954999924,86.97899628,0.75,71.90000153,49.2243
159,Qatar,11.4847,0.0186,37.16372093,227.322,176.69,0.616999984,0,0.84799999,80.23000336,15.1722
124,Mauritius,11.3712,0.0436,24.28909561,622.962,224.644,5.883999825,0,0.80400002,74.98999786,39.8048
55,Dominica,11.3386,0.0541,28.20790698,98.567,227.376,0,0,0.741999984,75,43.6852
30,Bulgaria,11.1894,0.3558,25.41003846,65.18,424.688,13.27200031,0,0.815999985,75.05000305,44.0295
77,Greenland,11.1617,0.0186,21.76473514,0.137,199.941,0,0,0,71.69999695,43.2335
27,Brazil,10.6659,0.2271,34.36864987,25.04,177.961,5.059999943,0,0.764999986,75.87999725,37.4233
9,Armenia,10.659,0.2109,0,102.931,341.01,7.571000099,94.04299927,0.776000023,75.08999634,42.5282
98,Japan,10.5864,0.0265,28.57401163,347.778,79.37,18.49300003,0,0.91900003,84.62999725,34.8628
144,North Macedonia,10.399,0.3195,0,82.6,322.688,8.159999847,0,0.773999989,75.80000305,44.6202
160,Romania,10.1466,0.2241,31.38145995,85.129,370.946,11.68999958,0,0.828000009,76.05000305,48.5999
104,Kuwait,10.1272,0.0441,34.36846899,232.128,132.235,1.113999963,0,0.805999994,75.48999786,40.4395
156,Poland,9.9988,0.1977,28.17335271,124.027,227.331,10.20199966,0,0.879999995,78.73000336,39.8446
20,Belize,9.8,0.1122,33.99604005,16.426,176.957,2.279000044,90.08300018,0.716000021,74.62000275,39.0622
99,Jordan,9.5148,0.0852,29.2126615,109.285,208.257,2.361000061,0,0.728999972,74.52999878,44.787
103,Kosovo,9.3549,0.1285,34.26784238,168.155,0,0,0,0,0,44.4834
164,Saint Lucia,9.1826,0.1316,0,293.187,204.62,6.40500021,87.20200348,0.759000003,76.19999695,43.151
161,Russia,8.7802,0.1693,29.18193798,8.823,431.297,9.392999649,0,0.824000001,72.58000183,41.7796
