"Africa",36.9444,0.0259,56
"Asia",30.3720,0.0255,45
"Europe",39.2463,2.9226,51
"North America",32.4701,0.1590,41
"Oceania",37.0052,0.2890,24
"South America",24.1981,1.3219,14
