1,"Afghanistan",216378276,63667339056,0.0133,30024.459999999963,84245.25600000087,2069.676019191742,58430.80549621582,924200.89199998,791.0279653072357,100356.84283447266,1344000236,1659147079,81.0055
2,"Albania",313413447,4399908264,0.0879,45793.190000000024,162340.30800000316,13379.363456726074,0,470893.86000000924,1230.6600258350372,121626.35952758789,166466449,395364296,42.1046
3,"Algeria",287153143,69510196944,0.0109,53011.02999999995,26854.70400000103,5970.636174201965,129631.06384277344,430907.47200000205,1157.9040398597717,119010.23574829102,118139940,298397256,39.5915
4,"American Samoa",5840843,68568660,0.0349,0,430661.34000000457,0,0,439245,0,114149.51669311523,0,0,\N
5,"Andorra",42987051,123596964,0.1519,36701.49999999959,253492.74000000488,0,0,168940.98000000048,1343.6639549732208,129614.0451965332,2091971,5846260,35.7831
6,"Angola",100904109,55091765808,0.0036,56577.41999999996,36981.719999999346,2108.375982284546,41275.87131500244,427317.6599999956,899.3879542350769,94660.20236206055,466170695,1398489266,33.3339
7,"Antigua and Barbuda",7810284,145159056,0.0940,0,358896.0599999895,7168.788064956665,0,296459.027999998,1204.3439955711365,119226.9548034668,3180454,7482788,42.5036
8,"Argentina",9546011760,70632022848,0.2052,57462.329999999856,25106.703999999598,11548.43197631836,0,296481.6640000076,1311.4400444030762,118991.83715820312,29822834679,93762123135,31.8069
9,"Armenia",458779792,4304170656,0.2109,0,159337.18800000023,11719.908153533936,145578.56286621094,527883.4800000099,1201.2480354309082,116239.31433105469,24974414,58724412,42.5282
10,"Aruba",38920250,164798532,0.1572,41922.30999999976,905270.400000023,11535.6962184906,0,0,0,118096.92141723633,46403644,100298978,46.2653
11,"Australia",7830644576,40522630680,0.0367,51727.940000000126,4956.696000000204,15679.691551208496,0,166860.46799999694,1461.312008857727,129165.12377929688,5555538769,19215709854,28.9114
12,"Austria",4542017230,13838527116,0.1614,53860.86000000049,165247.4520000021,21281.904224395752,0,224743.28399999512,1427.2559859752655,126223.92141723633,684532542,1897828020,36.0693
13,"Azerbaijan",813253438,16034304744,0.0637,65750.7400000002,184690.33200000078,5992.3080797195435,128857.06384277344,866588.9760000118,1170.287972688675,113004,1369509333,3516610796,38.9440
14,"Bahamas",36126227,634662972,0.1294,57315.32000000044,61141.35600000182,8049.599704742432,0,365256.7920000099,1260.0720162391663,114428.15716552734,6327612,14574520,43.4156
15,"Bahrain",624379723,2279022876,0.0727,41421.16000000031,2996784.036000001,2147.07594537735,0,234814.57200000779,1318.8959970474243,119644.92141723633,548286400,1422980218,38.5309
16,"Bangladesh",2095996486,266365988608,0.0118,54770.83999999987,1968396.0160000466,5075.672130584717,54161.24591064453,463692.6680000154,983.3920452594757,112950.03430175781,43548581295,110868307517,39.2796
17,"Barbados",81638089,435988008,0.1057,52436.18999999975,1028588.7239999855,14664.203338623047,136950.01473999023,263237.3999999926,1260.0720162391663,122586.12377929688,59569853,128989451,46.1820
18,"Belarus",975587034,14760111888,0.0480,25601.200000000063,72536.18399999916,15151.824165344238,0,685963.6919999897,1274.0040214061737,115774.92141723633,164370065,618646885,26.5693
19,"Belgium",4138691152,18043368804,0.2159,42795.82999999986,581373.0720000152,19890.25196456909,0,177862.10399999548,1441.187991142273,126363.23574829102,8426384915,24615475787,34.2321
20,"Belize",61483445,627381180,0.1122,52625.87000000012,25427.447999999535,3527.8920679092407,139448.48428344727,273929.4359999943,1108.3680317401886,115511.76425170898,16837926,43105462,39.0622
21,"Benin",27642595,20670233472,0.0009,35263.18999999964,153422.27999999755,3006.216048717499,17082.179763793945,365092.7039999975,843.6600258350372,95619.96070861816,44616413,75757734,58.8935
22,"Bermuda",15202770,99392436,0.1435,43185.18999999987,2026053.3600000306,0,0,216018.75599999708,0,127849.31433105469,1973826,5297377,37.2604
23,"Bhutan",46479445,1211243436,0.0013,55549.27999999939,32799.023999998746,4608.395997047424,123541.23477172852,336018.1679999937,1012.3919756412506,111115.43811035156,34501223,123582319,27.9176
24,"Bolivia",1068209874,18922928472,0.1320,46353.03999999974,15792.695999999625,6800.364194869995,39292.88310241699,316254.8519999987,1111.4639918804169,110697.48330688477,2212783307,5077109541,43.5835
25,"Bosnia and Herzegovina",402716475,5005504440,0.3322,42396.249999999796,106031.80799999885,16580.62868499756,150409.87426757812,510274.98000000976,1207.4399557113647,119815.20236206055,6182724,13550064,45.6287
26,"Botswana",300425865,4071704400,0.0677,39971.820000000065,6260.1119999998855,3470.616159439087,0,367451.8559999913,1137.7800221443176,107725.31433105469,45531377,97855111,46.5294
27,"Brazil",35549869707,333305304192,0.2271,53202.670000000326,38761.92000000105,7832.8799114227295,0,275483.6280000072,1184.2199778556824,117462.23574829102,75558416662,201902296883,37.4233
28,"British Virgin Islands",6276417,48501936,0.1191,0,321942.2039999976,0,0,0,0,122400.35952758789,689979,1606945,42.9373
29,"Brunei",201556278,695055096,0.0175,43287.64000000006,125925.15599999668,3687.335952758789,0,311589.17999999766,1297.223999261856,117431.28094482422,35302404,91439727,38.6073
30,"Bulgaria",1183826382,10579849800,0.3558,39639.66000000034,101680.7999999964,20704.320487976074,0,662513.2800000011,1272.959976196289,117078.00476074219,1640412624,3725713252,44.0295
31,"Burkina Faso",23067443,35098986672,0.0011,22462.420000000042,108593.74799999822,2102.1840620040894,18385.595775604248,416486.30400000943,699.6959878206253,95325.84283447266,44823695,78794911,56.8865
32,"Burundi",44179286,19953074484,0.0001,17371.540000000015,654899.9759999983,2328.1919202804565,9510.91208267212,453669.26400001795,670.2839974164963,95325.84283447266,1110771,1239744,89.5968
