"Africa",0.1645,0.0001,55
"Asia",0.2970,0.0011,45
"Europe",0.3755,0.0254,50
"North America",0.2283,0.0029,41
"Oceania",0.1629,0.0042,21
"South America",0.5049,0.0144,13
