1,"Africa",53,12520760110,2188782000828,0.5720,2087300.929999973,8490934.799998803,179261.49607086182,1713375.9312286377,23581126.727998506,45334.728066802025,5269856.381103516,22593156172,50710428429,44.5533
2,"Asia",48,214128403434,7257200990769,2.9506,2319904.240000067,57761551.98498698,296872.3365559578,2801049.572757721,21265851.20700197,52920.10290515423,5475448.077804565,1188335446512,4426631803867,26.8451
3,"Europe",48,204846163962,1157909081523,17.6910,1887589.3500003156,46577590.85201599,711740.4010753632,436322.3752441406,14626865.718004119,57278.34906679392,5818075.593528748,234332554862,632001308272,37.0779
4,"North America",34,111050137237,930267777960,11.9374,1035444.2600000456,14736163.985999938,241186.23307991028,1560792.6827316284,7933819.449997625,26931.185945510864,4039939.7494659424,202504015509,576168822677,35.1466
5,"Oceania",19,9706088093,69695813521,13.9264,348205.3899999847,4397019.394000575,90933.22721004486,222294.34478759766,7786282.121000477,13269.466916561127,2140227.3380355835,8005870584,26081594639,30.6955
6,"South America",12,64734454317,675896905176,9.5776,646050.1800000183,453170.500000041,96364.90017414093,612921.3064727783,3480493.203999854,14179.963988304138,1395194.0061340332,152825631568,427146283386,35.7783
