infection_death_rate_id,location,continent,total_cases,total_deaths,total_population,infection_rate,death_rate,infected_population,dead_population_no
59,"Dominican Republic","North America",654144326,5288705,16674799185,3.9230,0.0317,16020654859,16669510480
98,"Iraq","Asia",2555953930,28886634,66388217008,3.8500,0.0435,63832263078,66359330374
60,"Ecuador","South America",993894176,40265632,26731487970,3.7181,0.1506,25737593794,26691222338
133,"Mexico","North America",6963511474,379326988,191128675880,3.6434,0.1985,184165164406,190749348892
206,"Thailand","Asia",3926097296,28890928,109983234816,3.5697,0.0263,106057137520,109954343888
103,"Jamaica","North America",142521382,3213041,4178870596,3.4105,0.0769,4036349214,4175657555
109,"Kiribati","Oceania",3344456,14171,104858363,3.1895,0.0135,101513907,104844192
92,"Honduras","North America",484212608,12003066,15419764124,3.1402,0.0778,14935551516,15407761058
225,"Vatican","Europe",35068,0,1199880,2.9226,0.0000,1164812,1199880
209,"Tokelau","Oceania",22326,0,889710,2.5094,0.0000,867384,889710
140,"Morocco","Africa",1293470855,17746394,55625094360,2.3253,0.0319,54331623505,55607347966
145,"Nepal","Asia",1039650150,12760067,46646163822,2.2288,0.0274,45606513672,46633403755
164,"Philippines","Asia",3870270259,63019887,175649692160,2.2034,0.0359,171779421901,175586672273
95,"India","Asia",46404591135,569422012,2154103142400,2.1542,0.0264,2107698551265,2153533720388
43,"China","Asia",47270409190,63878464,2207273633280,2.1416,0.0029,2160003224090,2207209754816
224,"Vanuatu","Oceania",8413496,9975,402875352,2.0884,0.0025,394461856,402865377
62,"El Salvador","North America",191006968,4521715,9320834103,2.0492,0.0485,9129827135,9316312388
198,"Sri Lanka","Asia",653299127,15756525,33184868000,1.9687,0.0475,32531568873,33169111475
182,"Sao Tome and Principe","Africa",6297439,80405,329719850,1.9099,0.0244,323422411,329639445
192,"Solomon Islands","Oceania",16524674,124582,923446800,1.7895,0.0135,906922126,923322218
183,"Saudi Arabia","Asia",899097639,11396945,54067103640,1.6629,0.0211,53168006001,54055706695
113,"Laos","Asia",176430403,553783,11023154328,1.6005,0.0050,10846723925,11022600545
96,"Indonesia","Asia",6313426771,162616439,409119495840,1.5432,0.0397,402806069069,408956879401
75,"Gabon","Africa",50400184,320004,3530937566,1.4274,0.0091,3480537382,3530617562
226,"Venezuela","South America",552941154,5974119,41829912600,1.3219,0.0143,41276971446,41823938481
112,"Kyrgyzstan","Asia",81755223,945149,6690296589,1.2220,0.0141,6608541366,6689351440
207,"Timor","Asia",22450802,127832,1973049358,1.1379,0.0065,1950598556,1972921526
